"","Name","Genre","Global_Sales"
"1","Assassin's Creed","Adventure",11.3
"2","Super Mario Land 2: 6 Golden Coins","Adventure",11.18
"3","L.A. Noire","Adventure",5.95
"4","Zelda II: The Adventure of Link","Adventure",4.38
"5","Rugrats: Search For Reptar","Adventure",3.34
"6","Club Penguin: Elite Penguin Force","Adventure",3.16
"7","Heavy Rain","Adventure",3.12
"8","Myst","Adventure",3.06
"9","Minecraft: Story Mode","Adventure",2.89
"10","Riven: The Sequel to Myst","Adventure",2.75
