"","Platform","Global_Sales"
"1","3DS",156.45
"2","DS",349.1
"3","GB",229.06
"4","GBA",112
"5","GC",79.15
"6","N64",129.62
"7","NES",183.97
"8","SNES",96.84
"9","Wii",390.34
"10","WiiU",57.9
