"","Publisher","Global_Sales"
"222","Illusion Softworks",0.7
"223","Media Rings",0.65
"224","Sting",0.65
"225","Wanadoo",0.65
"226","Astragon",0.64
"227","Elf",0.64
"228","Foreign Media Games",0.63
"229","Seta Corporation",0.63
"230","Universal Gamex",0.63
"231","Aspyr",0.62
"232","TDK Core",0.62
"233","Wizard Video Games",0.62
"234","Idea Factory International",0.61
"235","Prototype",0.61
"236","Nordcurrent",0.59
"237","Asylum Entertainment",0.59
"238","ESP",0.59
"239","Mumbo Jumbo",0.58
"240","Kadokawa Games",0.58
"241","CPG Products",0.54
"242","AQ Interactive",0.53
"243","BPS",0.52
"244","The Adventure Company",0.51
"245","Answer Software",0.5
"246","Hect",0.5
"247","Popcorn Arcade",0.49
"248","Rebellion",0.49
"249","Avalon Interactive",0.48
"250","Swing! Entertainment",0.48
"251","Activision Blizzard",0.48
"252","Pack In Soft",0.48
"253","Irem Software Engineering",0.46
"254","Home Entertainment Suppliers",0.45
"255","Valcon Games",0.45
"256","Aksys Games",0.44
"257","PlayV",0.44
"258","Shogakukan",0.44
"259","Angel Studios",0.44
"260","NEC",0.43
"261","Tetris Online",0.43
"262","Electronic Arts Victor",0.42
"263","Jack of All Games",0.42
"264","TYO",0.42
"265","bitComposer Games",0.41
"266","Magical Company",0.41
"267","Microids",0.4
"268","MTO",0.4
"269","NCS",0.4
"270","P2 Games",0.4
"271","ValuSoft",0.39
"272","989 Sports",0.38
"273","Blast! Entertainment Ltd",0.38
"274","Graffiti",0.38
"275","Hip Interactive",0.36
"276","New",0.36
"277","Performance Designed Products",0.36
"278","DSI Games",0.35
"279","Magix",0.35
"280","Time Warner Interactive",0.35
"281","ITT Family Games",0.34
"282","Reef Entertainment",0.34
"283","Benesse",0.33
"284","Cave",0.33
"285","Starpath Corp.",0.33
"286","U.S. Gold",0.33
"287","Evolved Games",0.32
"288","Indie Games",0.32
"289","Yacht Club Games",0.32
"290","Agatsuma Entertainment",0.31
"291","CBS Electronics",0.31
"292","CokeM Interactive",0.31
"293","Hackberry",0.31
"294","Neko Entertainment",0.31
"295","Game Life",0.3
"296","Hamster Corporation",0.3
"297","Mad Catz",0.3
"298","Rebellion Developments",0.3
"299","Core Design Ltd.",0.29
"300","Data Design Interactive",0.29
"301","Media Factory",0.29
"302","Wargaming.net",0.29
"303","Excalibur Publishing",0.28
"304","Nichibutsu",0.28
"305","Playmates",0.28
"306","Daedalic",0.28
"307","Tru Blu Entertainment",0.28
"308","ASCII Media Works",0.27
"309","Culture Brain",0.27
"310","CyberFront",0.27
"311","Liquid Games",0.27
"312","Syscom",0.27
"313","Telstar",0.27
"314","Vic Tokai",0.27
"315","Nippon Telenet",0.26
"316","Pacific Century Cyber Works",0.26
"317","Vir2L Studios",0.26
"318","Asgard",0.25
"319","Axela",0.25
"320","Paon",0.25
"321","Xing Entertainment",0.24
"322","Yeti",0.24
"323","American Softworks",0.23
"324","Asmik Ace Entertainment",0.23
