"","Name","Genre","Global_Sales"
"1","Grand Theft Auto V","Action",55.92
"2","Grand Theft Auto: San Andreas","Action",23.86
"3","Grand Theft Auto IV","Action",22.47
"4","Grand Theft Auto: Vice City","Action",16.19
"5","FIFA Soccer 13","Action",16.16
"6","LEGO Star Wars: The Complete Saga","Action",15.75
"7","Assassin's Creed IV: Black Flag","Action",13.16
"8","Grand Theft Auto III","Action",13.11
"9","Assassin's Creed III","Action",13.1
"10","Red Dead Redemption","Action",12.94
