"","Name","Genre","Global_Sales"
"1","Wii Sports","Sports",82.74
"2","Wii Sports Resort","Sports",33
"3","Wii Fit","Sports",22.72
"4","Wii Fit Plus","Sports",22
"5","FIFA 15","Sports",19.02
"6","FIFA 14","Sports",17.14
"7","FIFA 16","Sports",16.44
"8","Mario & Sonic at the Olympic Games","Sports",13.2
"9","FIFA 12","Sports",13.15
"10","FIFA Soccer 11","Sports",12.56
