"","Genre","Global_Sales"
"1","Action",128.1
"2","Adventure",35.71
"3","Fighting",53.35
"4","Misc",180.67
"5","Platform",426.18
"6","Puzzle",124.88
"7","Racing",151.3
"8","Role-Playing",284.57
"9","Shooter",69.69
"10","Simulation",85.25
"11","Sports",218.01
"12","Strategy",26.72
